,POI Total,POI Lifestyle,POI Business/Residential,POI Food/Beverage,Charge Count,zone_mean_pred,zone_mean_actual
1135,0.0085255345,-0.017034592,0.020938752,0.0073096766,-0.0025079541,0.35243085,0.45156568
1137,-0.021141773,-0.01739674,-0.01520972,-0.030661492,-0.029494662,0.19786134,0.3389206
1138,0.01028314,-0.009893761,-0.001652407,0.0068568643,-0.015422863,0.3327072,0.11204379
1143,-0.010306054,-0.013205624,-0.05679096,0.004162872,0.0056147054,0.27336472,0.24588576
1144,-0.009232933,-0.018933417,-0.028746549,0.009100917,0.014680426,0.31381992,0.29374003
1149,0.008824746,0.02150423,-0.02127211,0.013590545,0.012643764,0.4246223,0.5138763
1154,0.0056672147,-0.023191003,-0.010499341,0.009381671,-0.040329773,0.32478938,0.40175095
1156,-0.007842463,-0.044362053,-0.015386046,0.008169681,0.0021092573,0.2540414,0.14380187
1159,-0.0029667183,0.012254525,0.029956127,0.01373214,0.017476108,0.4185831,0.42054018
1162,-0.0037000752,0.011248957,-0.036359705,0.0065871165,-0.03581973,0.29469493,0.28126797
1163,0.023772575,-0.017886272,0.0058741206,-0.020985482,-0.034368936,0.28933367,0.36624265
1164,0.045303892,0.06555205,0.024458652,0.015654953,0.020890404,0.54755396,0.6296036
1166,0.00855511,0.05489096,0.012997968,-0.014133703,0.019646559,0.43303767,0.45226333
1167,-0.015738519,-0.021791557,0.003082591,-0.038763873,0.019872222,0.27556616,0.30631116
1168,-0.0074925013,-0.01379016,0.008580845,-0.030925917,-0.013036999,0.29665464,0.25227493
1172,0.019727658,-0.014298348,0.018303934,0.0003383216,0.07046031,0.42524126,0.38694194
1173,-0.0021837996,-0.0034255434,0.06784977,0.004035543,0.013255158,0.44456452,0.47054127
